Date ,Problems Found (if any) ,Advice/ solution given
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28/04/2024,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
28.4.24,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard
28.4.24,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard
28.4.24,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard
30/04/2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
30/04/2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
30/04/2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
30/04/2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
05-05-2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-05-2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-05-2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-05-2024,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
05-05-2024,-,"To prepare bed in sorjan system, the beds must be wide and drainage system must be ensured"
05-05-2024,-,"In bed preparetion, usage of MOP and Gypsum fertilizer need to be ensured"
06-05-2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
06-05-2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
06-05-2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
06-05-2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
06-05-2024,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
06-05-2024,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
06-05-2024,-,Rippen cobes need to be collected and should be stored after sun dry
06-05-2024,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
07-05-2024,-,Half of the vermicompost plant mut be filled with dry cowdung
07-05-2024,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
07-05-2024,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
08-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
09-05-2024,Seedling Preparation ,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
13.5.24,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
13.5.24,-,"Water level should be at least 3 feet, if possible water needs to be stored"
14.5.24,-,Half of the vermicompost plant mut be filled with dry cowdung after cleaning the plant
14.5.24,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
19.5.24,-,Routine irrigation must be ensured
19.5.24,-,Straw mulching needs to be implemented
20.5.24,-,Weeds should be cleaned off the vegetable bed
28.5.24,-,Bed must be raised and should be cleaned
28.5.24,-,Stagnant water should be released from the top of vegetable beds
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
30-05-2024,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
02-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
02-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
02-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
02-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
02-06-2024,-,Weeds should be cleaned off the vegetable bed
02-06-2024,-,GI wire must be installed in vegetable trellis
04-06-2024,Fungal attack of cucumber,Carbendazim group fungicide should be sprayed according to machine rate
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
04-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
09-06-2024,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
09-06-2024,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
09-06-2024,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
09-06-2024,-,GI wire must be installed in vegetable trellis
09-06-2024,-,Yellow sticky trap and pheromone trap should installed properly
09-06-2024,Bitter gourd plant damage in some place,The gap should be fiiled quickly by making seedling at home.
09-06-2024,Bitter gourd plant damage in some place,The gap should be fiiled quickly by making seedling at home.
11.06.24,Seedling nurishing,Stick should be attached with seedling.
11.06.24,Seedling nurishing,Stick should be attached with seedling and weeding should be done.
11.06.24,Leaf curl of bitter gourd,It is recommended to spray Imidaclopid .
12.6.24,-,Sticking needs to be set up with bitter gourd seedling
12.6.24,-,Seedbed should be prepared within July month
12.06.24,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system
12.06.24,vegetable cultivation technology related problem,Manure should be apply in the vegetables bed.
12.06.24,weeds in vegetables field,Weeds should be cleaned off the vegetable bed
12.06.24,-,Manure should be apply in the vegetables bed.
12.06.24,Cowdung wet in Vermicompost Chamber,Cowdung should be change from the chamber and chamber cover with polythene.
12.06.24,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system
12.06.24,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system
12.06.24,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system
12.06.24,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system
12.06.24,vegetable cultivation technology related problem,Weeds should be cleaned off the vegetable bed and provide trellis
19.6.24,-,Seedbed should be prepared within July month
19.6.24,-,Regulated fungicide spray should be done after heavy rain
19.6.24,-,Weeds should be cleaned off the vegetable bed
23.06.24,vegetable cultivation technology related problem,For vegetables cultivation bed should be high and ensure proper drainage system
23.06.24,Weeds in vegetables field,Weeding should be done by hand hoe
23.06.24,vegetable cultivation technology related problem,Yellow Trap and Pheromone trap
23.06.24,Yellowish leaf of chili,Spray 2g Mancogev mixed with 1L water
23.06.24,Yellowish leaf of Bitter gourd,Excessive water should be remove from bed and Spray 2g Mancogev mixed with 1L water
23.06.24,leaf Curl of chilli,1kg half crushed neem seed soaked in 20L water for 24 Hours then spray the water in the field
23.06.24,leaf Curl of chilli,1kg half crushed neem seed soaked in 20L water for 24 Hours then spray the water in the field
23.06.24,Leaf Curl of Bitter gourd,Excessive water should be remove from bed and spray Emadacloropid insecticide
23.06.24,Leaf Curl of Bitter gourd,Excessive water should be remove from bed and spray Emadacloropid insecticide
23.06.24,How to prepare bed for aman seed,Must be select high land for Aman seed bed preparation and make ensure proper drainage system
23.06.24,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.
23.06.24,Yellowish leaf of bitter gourd,Excessive water should be remove from bed and Spray 2g Mancogev mixed with 1L water
23.06.24,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.
23.06.24,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.
23.06.24,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.
23.06.24,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.
23.06.24,Leaf curl of bitter gourd,It is recommended to spray Imidaclopid .
23.06.24,Problem in vegetable bed preparation,To drain out water from bed a deep canal should be made between two bed.
24.06.24,YLB leaf attack by fungus,Spraying Propiconazol group fungicide at the rate of 0.5mm in late afternoon.
25.06.24,Leaf curl of bitter gourd,Spraying Imidaclopid group insecticide at the rate of 1ml/1L water
26.06.24,Fruit fly attack in bitter gourd field,Pheromone trap and yellow sticky trap should be placed in field as soon as possible
26.06.24,Bitter gourd leaf being yellowish along with stem,Weeding should be done within two days and spray mancozeb group fungicide
26.06.24,bottom part of bitter gourd is being rotten and leaf burn,Affected leaf should be destroyed and spray mancozeb+ carbendazim group fungicide if necessary
26.06.24,Slower growth of plant in some place,Weeding should be done and Pheromone trap and yellow sticky trap should be placed in field as soon as possible
26.06.24,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.
26.06.24,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.
26.06.24,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.
26.06.24,Slower growth of plant in some place,Weeding should be done and Pheromone trap and yellow sticky trap should be placed in field as soon as possible
26.06.24,Gummy stem blight of bottle gourd,Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide.
07.07.24,Cowdung in upper side of compost plat is hard and bitter gourd plant damaged by excessive rainfall,Cowdung should be changed and add earth worm within 7 days. Apply mancozeb at bitter gourd field.
10.7.24,Cucumber fruit became reddish at early stage,Zypsum fertilizer apply at the base of plant and drainout excessive water imidiately
14.7.24,Excessive weed in base of plant and yellow sticky trap aren't placed properly,Weeding should be done immediately and yellow sticky trap should be placed properly.
14.7.24,Yellowish leaf of bitter gourd,Applying Nitrogen fertilizer at the base of bitter gourd and care should be taken that excess water does not accumulate at the base.
14.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
14.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
14.7.24,Problem in Aman rice seedbed,Provide information about seedbed and drainage system
14.7.24,Problem in Aman rice seedbed,Provide information about seedbed and drainage system
14.7.24,Problem in Amar Bon bed preparation,Information was given to prepare proper bed according to guideline.
14.7.24,No drainage system in Aman rice seedbed.,By making canal to ensure proper drainage system.
14.7.24,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.
14.7.24,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.
14.7.24,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.
16.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
16.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
16.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
16.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
16.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
16.7.24,White fly infection in bittergourd and gummy stem blight of bottle gourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide for bottle gourd.
16.7.24,White fly infection in bittergourd and gummy stem blight of bottle gourd.,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning for bottle gourd.
27.7.24,Gummy stem blight of bottle gourd,Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning
29.07.24,Information for Amar Bon,For new Amar Bon information was given according to guideline
29.07.24,Water in chilli field.,Water should be drainout as soon as possible by pump.
29.07.24,Yellowish leaf of bitter gourd for rainfall,Spraying mancozeb fungicide.
29.07.24,Amar Bon information,Suggestion was given for Amar Bon tree plantation according to guideline.
31.7.24,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
31.7.24,Yellowish leaf of bitter gourd,Stagnant water at the base of the plant should be drained quickly and mancozeb fungicide should be sprayed.
31.7.24,Gummy stem blight of bottle gourd,Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning
31.7.24,Gummy stem blight of bottle gourd,Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning
31.7.24,Amar Bon information,Stick will be attached with provided plant for Amar Bon.
11.08.24,Yellowish leaf if LYB,Spraying mancozeb + Carbendazim group fungicide as per instruction.
11.08.24,Leaf roll of Okra,Spraying abamecting as per instruction.
11.08.24,Yellowish leaf of bitter gourd,Stagnant water at the base of the plant should be drained quickly and mancozeb fungicide should be sprayed.
11.08.24,Weeds and stugnant water,water should be drainout as soon as possible by pump and weeding should be done
11.08.24,Weeds and stugnant water,water should be drainout as soon as possible by pump and weeding should be done
11.08.24,Weeds and stugnant water,water should be drainout as soon as possible by pump and weeding should be done
11.08.24,Yellowish leaf of some vegetables.,Spraying mancozeb + Carbendazim group fungicide as per instruction.
11.08.24,Yellowish leaf if LYB,Spraying mancozeb + Carbendazim group fungicide as per instruction.
11.08.24,Yellowish leaf if LYB,Spraying mancozeb + Carbendazim group fungicide as per instruction.
11.08.24,Yellowish leaf if LYB,Spraying mancozeb + Carbendazim group fungicide as per instruction.
12.08.24,Vegetables damaged by aphid,Spraying Imidaclorpid and Sypermithion 1ml/L water
12.08.24,Vegetables damaged by aphid,Spraying Imidaclorpid and Sypermithion 1ml/L water
12.08.24,Vegetables damaged by aphid,Spraying Imidaclorpid and Sypermithion 1ml/L water
13.08.24,Vegetable field caring,Excessive water from vegetable field shoud be drained out.
13.08.24,Vegetable field caring,Excessive water from vegetable field shoud be drained out.
13.08.24,Vegetable field caring,Excessive water from vegetable field shoud be drained out.
14.08.24,Leaf roll of Okra,Spraying abamecting as per instruction.
14.08.24,Leaf roll of Okra,Spraying abamecting as per instruction.
14.08.24,Rotting in bottle gourd,Spraying mancozeb + Carbendazim group fungicide as per instruction.
14.08.24,Yellowish leaf of bitter gourd,Spraying mancozeb in sunny time
14.08.24,Yellowish leaf of bitter gourd,Spraying mancozeb in sunny time
14.08.24,Yellowish leaf of bitter gourd,Spraying mancozeb in sunny time
14.08.24,Amon Rice information,Transplanting should be done by following line logo.
14.08.24,Amon Rice information,Transplanting should be done by following line logo.
14.08.24,Rotting in LYB,Spraying mancozeb in sunny time
14.08.24,Rotting in LYB,Spraying mancozeb in sunny time
15.08.24,Amon Rice information,Transplanting should be done by following line logo.
15.08.25,Amon Rice information,Excessive water from transplanted field shoud be drained out.
15.08.26,Amon Rice information,Excessive water from transplanted field shoud be drained out.
